,main_category,category,year,usd_pledged_real,pledged_minmax,x,y,success_rank
102,Art,Video Art,2013,7173.34,5.0032551795746505,2.4253243081321445,6.145134002538967,11.0
103,Art,Video Art,2014,92628.11,5.043702594107076,2.617915826422279,13.103749049464328,11.0
104,Art,Video Art,2015,284716.17999999993,5.134621635771148,13.093551401843694,4.491848555046105,11.0
105,Art,Video Art,2016,43960.78999999999,5.0206673993927,5.59238173271555,9.36881535313372,11.0
106,Art,Video Art,2017,52007.67,5.024476145130974,11.113366247716353,10.554701281052203,11.0
107,Comics,Anthologies,2010,14705.1,5.006820108938789,6.039315297779254,14.852787261645396,13.0
108,Comics,Anthologies,2011,3054.02,5.001305424825656,4.104772569433422,8.376243278631753,13.0
109,Comics,Anthologies,2012,192217.07,5.0908399972967775,6.609528436773323,10.866671832613479,13.0
110,Comics,Anthologies,2013,197119.96999999997,5.093160635790229,14.77246904273568,7.812469264437056,13.0
111,Comics,Anthologies,2014,563511.31,5.266580825325242,10.249460981352135,6.631189631490592,13.0
112,Comics,Anthologies,2015,1902160.9599999997,5.900189894862693,8.46262614924094,2.1553472155298508,13.0
113,Comics,Anthologies,2016,1251116.3299999998,5.59203773403282,10.243166701696827,7.837047269225964,13.0
114,Comics,Anthologies,2017,1314548.7900000003,5.622061558383778,11.52569325081898,15.435506001055378,13.0
115,Comics,Comic Books,2010,2513.05,5.001049373140775,10.797685950319233,18.77115640400083,13.0
116,Comics,Comic Books,2011,2728.99,5.001151581767562,9.456120189060252,7.902359044876078,13.0
117,Comics,Comic Books,2012,153145.18,5.072346507332492,19.38032882457787,16.873631087168356,13.0
118,Comics,Comic Books,2013,81115.12,5.038253270692623,15.282911413565236,3.48458074812803,13.0
119,Comics,Comic Books,2014,1589282.8899999992,5.752098582986301,5.352161758958539,13.395299776096813,13.0
120,Comics,Comic Books,2015,2202929.1500000004,6.042549363609698,7.046650041437086,16.844556267511987,13.0
121,Comics,Comic Books,2016,2367749.529999998,6.1205620741143525,4.587189513634298,16.499383596634203,13.0
122,Comics,Comic Books,2017,2936768.890000002,6.38989006985872,7.917750487961246,19.247973286246513,13.0
123,Comics,Comics,2009,58490.25,5.027544477074289,1.5391821806828432,18.17903918884608,13.0
124,Comics,Comics,2010,512615.65999999986,5.2424909184254025,15.145558476316165,16.914436557080876,13.0
125,Comics,Comics,2011,1677589.8000000007,5.793895971181807,11.789890884380323,4.336014710897919,13.0
126,Comics,Comics,2012,8634681.609999998,9.086823637820139,9.03093554094471,14.037348002679543,13.0
127,Comics,Comics,2013,11495800.719999993,10.441047289335616,17.97529444704394,15.781550181001416,13.0
128,Comics,Comics,2014,4354885.549999998,7.061112429972253,7.246180194042578,15.059878744170275,13.0
129,Comics,Comics,2015,2376595.170000001,6.124748888588076,11.99309943030139,13.963231646363143,13.0
130,Comics,Comics,2016,1706530.92,5.80759436950027,18.665385099702632,17.958587690221826,13.0
131,Comics,Comics,2017,1780157.2199999993,5.842443137761991,11.561335037580767,4.654849920122867,13.0
132,Comics,Events,2012,58087.14,5.027353677224589,12.646533280282812,19.239842249282393,13.0
133,Comics,Events,2013,89667.47,5.042301265271234,7.991125615470785,18.911334324818863,13.0
134,Comics,Events,2014,56620.72,5.026659591948616,19.96385550110302,7.659294368690266,13.0
135,Comics,Events,2015,127947.75000000001,5.060420070734958,15.340865790919942,7.466618926473215,13.0
136,Comics,Events,2016,136117.71,5.064287072645248,6.763556094784433,12.942128078138714,13.0
137,Comics,Events,2017,61363.9,5.028904631841204,7.754798714310574,10.861226855508585,13.0
138,Comics,Graphic Novels,2009,13062.58,5.006042672087484,12.238670436852145,1.6800962801025328,13.0
139,Comics,Graphic Novels,2010,12665.78,5.005854858884237,10.854089453851607,16.929663962149867,13.0
140,Comics,Graphic Novels,2011,9210.0,5.0042191705991605,10.942820885774811,7.911010430476652,13.0
141,Comics,Graphic Novels,2012,123788.56,5.0584514447349225,4.649696632488984,12.796090954578693,13.0
142,Comics,Graphic Novels,2013,454503.62,5.214985352952522,11.938353211237986,15.03364798069295,13.0
143,Comics,Graphic Novels,2014,1756499.4199999997,5.831245438165758,14.374993082254642,19.591225038642044,13.0
144,Comics,Graphic Novels,2015,3912303.7699999996,6.851629814547053,15.534837524565166,8.224019780199841,13.0
145,Comics,Graphic Novels,2016,5097143.909999996,7.412437833774504,9.53822351849891,12.756997038536099,13.0
146,Comics,Graphic Novels,2017,3861566.4100000025,6.827614829401101,9.465597385596672,18.48123866833248,13.0
147,Comics,Webcomics,2009,13194.5,5.006105112404451,10.580892381117321,14.274315296441504,13.0
148,Comics,Webcomics,2011,27226.0,5.012746495875634,11.188810575292147,6.685585702583115,13.0
149,Comics,Webcomics,2012,146090.13,5.0690072141380105,10.023600336933871,5.678407930003616,13.0
150,Comics,Webcomics,2013,285430.67,5.134959817866884,1.2299006774314227,12.640806951355712,13.0
151,Comics,Webcomics,2014,1208989.1099999999,5.572098096603116,6.00511933488288,13.181702202003859,13.0
152,Comics,Webcomics,2015,2505485.0200000005,6.18575497627601,19.768336364295678,8.783225566646651,13.0
153,Comics,Webcomics,2016,1932442.48,5.9145227307255945,16.700084940548926,15.376428314041009,13.0
154,Comics,Webcomics,2017,2067038.2300000002,5.978229532517382,9.88008730418641,2.4556281071685673,13.0
155,Crafts,Candles,2012,5242.0,5.002341038566687,15.287580678211764,11.886892406862879,3.0
156,Crafts,Candles,2013,8290.0,5.003783716599696,5.013730466248362,18.492214081525873,3.0
